"연도","자치구명","여자","살인","강도","강간","절도","폭력","건수"
2015,"종로구",11168,6,11,211,2184,2293,4705
2015,"중구",9227,3,9,170,2548,2224,4954
2015,"용산구",16469,5,14,194,1557,2050,3820
2015,"성동구",16858,4,9,126,1607,1612,3358
2015,"광진구",27024,4,14,240,3026,2625,5909
2015,"동대문구",25297,5,13,173,1981,2548,4720
2015,"중랑구",21821,13,11,187,2135,2847,5193
2015,"성북구",27981,5,5,150,1785,2209,4154
2015,"강북구",19187,7,14,153,1434,2649,4257
2015,"도봉구",15033,3,9,102,1063,1487,2664
2015,"노원구",26051,10,7,197,2193,2723,5130
2015,"은평구",23894,3,9,166,1914,2653,4745
2015,"서대문구",22004,2,5,154,1812,2056,4029
2015,"마포구",28560,8,14,294,2555,2983,5854
2015,"양천구",17095,3,6,120,1890,2509,4528
2015,"강서구",30223,7,13,262,2096,3207,5585
2015,"구로구",19900,8,15,281,2335,3007,5646
2015,"금천구",13520,3,6,151,1567,2054,3781
2015,"영등포구",23470,14,22,295,2964,3572,6867
2015,"동작구",26770,5,9,285,1864,1910,4074
2015,"관악구",45831,9,12,320,2706,3298,6345
2015,"서초구",20477,8,9,393,2635,2399,5444
2015,"강남구",35414,13,21,449,3850,4284,8617
2015,"송파구",28334,11,13,220,3239,3295,6778
2015,"강동구",20077,4,6,156,2366,2712,5244
2016,"종로구",11650,6,12,238,1940,2263,4705
2016,"중구",9941,3,8,198,2150,2225,4954
2016,"용산구",17130,4,9,251,1489,2384,3820
2016,"성동구",17945,4,3,104,1296,1619,3358
2016,"광진구",27242,4,11,279,2636,2392,5909
2016,"동대문구",25547,5,10,190,1940,2642,4720
2016,"중랑구",22541,8,14,164,1691,3164,5193
2016,"성북구",29502,4,8,154,1470,2108,4154
2016,"강북구",19797,7,5,217,1222,2778,4257
2016,"도봉구",15689,3,5,123,866,1441,2664
2016,"노원구",27214,5,6,159,1875,2516,5130
2016,"은평구",24532,6,9,156,1666,2664,4745
2016,"서대문구",24380,6,5,175,1503,1976,4029
2016,"마포구",29378,4,4,399,2527,2939,5854
2016,"양천구",17504,5,7,131,1719,2250,4528
2016,"강서구",32789,9,10,275,1952,3204,5585
2016,"구로구",20927,9,10,273,1910,3164,5646
2016,"금천구",14007,6,7,175,1264,2193,3781
2016,"영등포구",24393,13,19,356,2341,3593,6867
2016,"동작구",26994,8,7,325,1226,1661,4074
2016,"관악구",48173,6,12,322,2103,3235,6345
2016,"서초구",21410,5,13,428,2205,2338,5444
2016,"강남구",35841,5,39,516,3587,4002,8617
2016,"송파구",29576,9,15,234,2543,3289,6778
